Unnamed: 0,Country,Code,Population,GDP per Capita
0,Afghanistan,,32526562.0,594.323081219966
1,Albania,,2889167.0,3945.21758150914
2,Algeria,,39666519.0,4206.03123244958
3,American Samoa*,,55538.0,
4,Andorra,,70473.0,
5,Angola,,25021974.0,4101.47215182964
6,Antigua and Barbuda,,91818.0,13714.7319616988
7,Argentina,,43416755.0,13431.8783398577
8,Armenia,,3017712.0,3489.12768956995
9,Aruba*,,103889.0,
10,Australia,,23781169.0,56310.9629933721
11,Austria,,8611088.0,43774.985173612
12,Azerbaijan,,9651349.0,5496.34464026248
13,Bahamas,,388019.0,22817.2308572518
14,Bahrain,,1377237.0,22600.2140981035
15,Bangladesh,,160995642.0,1211.70153057661
16,Barbados,,284215.0,15429.3404640853
17,Belarus,,9513000.0,5740.4564947956205
18,Belgium,,11285721.0,40324.0277657215
19,Belize,,359287.0,4878.72126724745
20,Bermuda*,,65235.0,
21,Benin,,10879829.0,762.0512054419651
22,Bhutan,,774830.0,2655.99889161858
23,Bolivia,,10724705.0,3076.7918106088105
24,Bosnia and Herzegovina,,3810416.0,4249.3303131949
25,Botswana,,2262485.0,6360.138220188371
26,Brazil,,207847528.0,8538.5899749574
27,British Virgin Islands,,30117.0,
28,Brunei,,423188.0,30554.7296658073
29,Bulgaria,,7177991.0,6993.47735975728
30,Burkina Faso,,18105570.0,589.774414136617
31,Burundi,,11178921.0,277.068309170914
32,Cambodia,,15577899.0,1158.6899035244
33,Cameroon,,23344179.0,1217.26067048427
34,Canada,,35851774.0,43248.529909341
35,Cape Verde,,520502.0,3080.17881445563
36,Cayman Islands*,,59967.0,
37,Central African Republic,,4900274.0,323.201674024141
38,Chad,,14037472.0,775.6950905253129
39,Chile,,17948141.0,13416.2300390185
40,China,,1371220000.0,8027.683810139069
41,Colombia,,48228704.0,6056.14771720405
42,Comoros,,788474.0,717.4488499609121
43,Congo,,4620330.0,1851.19991555492
44,"Congo, Dem Rep",,77266814.0,456.052740548027
45,Cook Islands,,,
46,Costa Rica,,4807850.0,11260.0921598775
47,Cote d'Ivoire,,22701556.0,1398.98995768413
48,Croatia,,4224404.0,11535.8293558997
49,Cuba,,11389562.0,
50,Cyprus,,1165300.0,23242.8400685313
51,Czech Republic,,10551219.0,17548.3382129701
52,Denmark,,5676002.0,51989.2934712354
53,Djibouti,,887861.0,1945.12429310444
54,Dominica,,72680.0,7116.38639189547
55,Dominican Republic,,10528391.0,6468.473491543299
56,East Timor (Timor-Leste),,1245015.0,1157.99295590816
57,Ecuador,,16144363.0,6205.064145299511
58,Egypt,,91508084.0,3614.74676616271
59,El Salvador,,6126583.0,4219.35032953932
60,Equatorial Guinea,,845060.0,14439.5944478516
61,Eritrea,,,
62,Estonia,,1311998.0,17118.5042003236
63,Ethiopia,,99390750.0,619.169406475891
64,Fiji,,892145.0,4960.51995438419
65,Finland,,5482013.0,42311.0362306446
66,France,,66808385.0,36205.5681017036
67,Gabon,,1725292.0,8266.4456050624
68,Gambia,,1990924.0,471.53719547234704
69,Georgia,,3679000.0,3795.973308450421
70,Germany,,81413145.0,41313.3139945434
71,Ghana,,27409893.0,1369.70112227585
72,Greece,,10823732.0,18002.230577668797
73,Grenada,,106825.0,9212.02035173484
74,Guam,,169885.0,
75,Guatemala,,16342897.0,3903.4788560461297
76,Guinea,,12608590.0,531.320595188714
77,Guinea-Bissau,,1844325.0,572.988428543071
78,Guyana,,767085.0,4127.35101806198
79,Haiti,,10711067.0,818.343297634549
80,Honduras,,8075060.0,2528.89354988523
