Country,Year,Season,TotalMedals,GoldMedals,SilverMedals,BronzeMedals,WeightedScore,PrevMedals,RollingMean3,MedalDelta,IsSummer,Population,GDP per Capita
AUS,1994,Winter,4,0,0,4,4,0.0,0.0,4.0,0,23344179.0,19222.1500764153
AUS,1998,Winter,1,0,0,1,1,4.0,4.0,-3.0,0,23344179.0,19222.1500764153
AUS,2002,Winter,2,2,0,0,6,1.0,2.5,1.0,0,23344179.0,19222.1500764153
AUS,2006,Winter,2,1,0,1,4,2.0,2.3333333333333335,0.0,0,23344179.0,19222.1500764153
AUS,2010,Winter,3,2,1,0,8,2.0,1.6666666666666667,1.0,0,23344179.0,19222.1500764153
AUS,2014,Winter,3,0,2,1,5,3.0,2.3333333333333335,0.0,0,23344179.0,19222.1500764153
AUT,1924,Winter,4,3,1,0,11,0.0,0.0,4.0,0,23344179.0,19222.1500764153
AUT,1928,Winter,6,0,4,2,10,4.0,4.0,2.0,0,23344179.0,19222.1500764153
AUT,1932,Winter,2,1,1,0,5,6.0,5.0,-4.0,0,23344179.0,19222.1500764153
AUT,1936,Winter,5,1,2,2,9,2.0,4.0,3.0,0,23344179.0,19222.1500764153
AUT,1948,Winter,8,1,3,4,13,5.0,4.333333333333333,3.0,0,23344179.0,19222.1500764153
AUT,1952,Winter,8,2,4,2,16,8.0,5.0,0.0,0,23344179.0,19222.1500764153
AUT,1956,Winter,12,5,3,4,25,8.0,7.0,4.0,0,23344179.0,19222.1500764153
AUT,1960,Winter,6,1,2,3,10,12.0,9.333333333333334,-6.0,0,23344179.0,19222.1500764153
AUT,1964,Winter,17,5,9,3,36,6.0,8.666666666666666,11.0,0,23344179.0,19222.1500764153
AUT,1968,Winter,15,3,8,4,29,17.0,11.666666666666666,-2.0,0,23344179.0,19222.1500764153
AUT,1972,Winter,5,1,2,2,9,15.0,12.666666666666666,-10.0,0,23344179.0,19222.1500764153
AUT,1976,Winter,7,2,2,3,13,5.0,12.333333333333334,2.0,0,23344179.0,19222.1500764153
AUT,1980,Winter,8,3,2,3,16,7.0,9.0,1.0,0,23344179.0,19222.1500764153
AUT,1984,Winter,1,0,0,1,1,8.0,6.666666666666667,-7.0,0,23344179.0,19222.1500764153
AUT,1988,Winter,12,3,5,4,23,1.0,5.333333333333333,11.0,0,23344179.0,19222.1500764153
AUT,1992,Winter,29,9,10,10,57,12.0,7.0,17.0,0,23344179.0,19222.1500764153
AUT,1994,Winter,12,2,3,7,19,29.0,14.0,-17.0,0,23344179.0,19222.1500764153
AUT,1998,Winter,20,3,5,12,31,12.0,17.666666666666668,8.0,0,23344179.0,19222.1500764153
AUT,2002,Winter,20,3,4,13,30,20.0,20.333333333333332,0.0,0,23344179.0,19222.1500764153
AUT,2006,Winter,30,16,7,7,69,20.0,17.333333333333332,10.0,0,23344179.0,19222.1500764153
AUT,2010,Winter,26,11,9,6,57,30.0,23.333333333333332,-4.0,0,23344179.0,19222.1500764153
AUT,2014,Winter,27,4,12,11,47,26.0,25.333333333333332,1.0,0,23344179.0,19222.1500764153
Afghanistan,2008,Summer,1,0,0,1,1,0.0,0.0,1.0,1,32526562.0,594.323081219966
Afghanistan,2012,Summer,1,0,0,1,1,1.0,1.0,0.0,1,32526562.0,594.323081219966
Algeria,1984,Summer,2,0,0,2,2,0.0,0.0,2.0,1,39666519.0,4206.03123244958
Algeria,1992,Summer,2,1,0,1,4,2.0,2.0,0.0,1,39666519.0,4206.03123244958
Algeria,1996,Summer,3,2,0,1,7,2.0,2.0,1.0,1,39666519.0,4206.03123244958
Algeria,2000,Summer,5,1,1,3,8,3.0,2.3333333333333335,2.0,1,39666519.0,4206.03123244958
