Country,Cluster
AUS,0
AUT,0
Afghanistan,0
Algeria,0
Argentina,0
Armenia,0
Australia,0
Austria,0
Azerbaijan,0
BEL,0
BLR,0
BUL,0
Bahamas,0
Bahrain,0
Barbados,0
Belarus,0
Belgium,0
Bermuda*,0
Botswana,0
Brazil,0
Bulgaria,0
Burundi,0
CAN,0
CHN,0
CRO,0
CZE,0
Cameroon,0
Canada,0
Chile,0
China,1
Colombia,0
Costa Rica,0
Cote d'Ivoire,0
Croatia,0
Cuba,0
Cyprus,0
Czech Republic,0
DEN,0
Denmark,0
Djibouti,0
Dominican Republic,0
ESP,0
EST,0
EUA,0
EUN,0
Ecuador,0
Egypt,0
Eritrea,0
Estonia,0
Ethiopia,0
FIN,0
FRA,0
FRG,0
Finland,0
France,0
GBR,0
GDR,0
GER,0
Gabon,0
Georgia,0
Germany,1
Ghana,0
Greece,0
Grenada,0
Guatemala,0
Guyana,0
HUN,0
Haiti,0
Hong Kong*,0
Hungary,0
ITA,0
Iceland,0
India,1
Indonesia,0
Iran,0
Iraq,0
Ireland,0
Israel,0
Italy,0
JPN,0
Jamaica,0
Japan,0
KAZ,0
KOR,0
Kazakhstan,0
Kenya,0
"Korea, North",0
"Korea, South",0
Kuwait,0
Kyrgyzstan,0
LAT,0
LIE,0
LUX,0
Latvia,0
Lebanon,0
Lithuania,0
Luxembourg,0
Macedonia,0
Malaysia,0
Mauritius,0
Mexico,0
Moldova,0
Mongolia,0
Morocco,0
Mozambique,0
NED,0
NOR,0
NZL,0
Namibia,0
Netherlands,0
Netherlands Antilles*,0
New Zealand,0
Niger,0
Nigeria,0
Norway,0
POL,0
PRK,0
Pakistan,0
Panama,0
Paraguay,0
Peru,0
Philippines,0
Poland,0
Portugal,0
Puerto Rico*,0
Qatar,0
ROU,0
RUS,0
Russia,1
SLO,0
SUI,0
SVK,0
SWE,0
Saudi Arabia,0
Senegal,0
Serbia,0
Singapore,0
Slovakia,0
Slovenia,0
South Africa,0
Spain,0
Sri Lanka,0
Sudan,0
Suriname,0
Sweden,0
Switzerland,0
Syria,0
TCH,0
Taiwan,0
Tajikistan,0
Tanzania,0
Thailand,0
Togo,0
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
UKR,0
URS,0
USA,0
UZB,0
Uganda,0
Ukraine,0
United Arab Emirates,0
United Kingdom,0
United States,1
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
Virgin Islands*,0
YUG,0
Zambia,0
Zimbabwe,0
